date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:26	309728/309728	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-4b9e0%22	https://static.itch.io/fonts/Lato-Bold.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Bold.woff	(from https://static.itch.io/game.css?1662925820)
21:52:27	176748/176748	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-2b26c%22	https://static.itch.io/fonts/Lato-Black.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Black.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:27	297272/297272	---MCZ	200	added ('OK')	text/plain	etag:W/%225c588c2a-48938%22	https://static.itch.io/fonts/Lato-Black.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/Lato-Black.woff	(from https://static.itch.io/game.css?1662925820)
21:52:27	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader.gif	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/loader.gif	(from https://static.itch.io/game.css?1662925820)
21:52:28	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader-dark.gif	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/loader-dark.gif	(from https://static.itch.io/game.css?1662925820)
21:52:28	4670/4670	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-1aa4%22	https://static.itch.io/images/loader-huge.gif	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/loader-huge.gif	(from https://static.itch.io/game.css?1662925820)
21:52:28	307/307	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-194%22	https://static.itch.io/images/cc-loader.gif	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/cc-loader.gif	(from https://static.itch.io/game.css?1662925820)
21:52:28	306/306	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624b674a-132%22	https://static.itch.io/images/play_icon.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/play_icon.svg	(from https://static.itch.io/game.css?1662925820)
21:52:29	663/663	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-297%22	https://static.itch.io/images/youtube_icon.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/youtube_icon.svg	(from https://static.itch.io/game.css?1662925820)
21:52:29	1005/1005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-3ed%22	https://static.itch.io/images/twitch_logo.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/twitch_logo.svg	(from https://static.itch.io/game.css?1662925820)
21:52:29	2691/2691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-a83%22	https://static.itch.io/images/loading.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/loading.svg	(from https://static.itch.io/game.css?1662925820)
21:52:29	173/173	---M--	200	added ('OK')	image/png	etag:%225ac04077-209%22	https://static.itch.io/images/popup-tick-right.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/popup-tick-right.png	(from https://static.itch.io/game.css?1662925820)
21:52:30	236/236	---M--	200	added ('OK')	image/png	etag:%225ac04077-1fa%22	https://static.itch.io/images/popup-tick-left.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/popup-tick-left.png	(from https://static.itch.io/game.css?1662925820)
21:52:30	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/04b03.eot	(from https://static.itch.io/game.css?1662925820)
21:52:30	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot?	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/04b03d41d.eot	(from https://static.itch.io/game.css?1662925820)
21:52:30	4888/4888	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1318%22	https://static.itch.io/fonts/04b03.woff2	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/04b03.woff2	(from https://static.itch.io/game.css?1662925820)
21:52:31	6488/6488	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1958%22	https://static.itch.io/fonts/04b03.woff	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/04b03.woff	(from https://static.itch.io/game.css?1662925820)
21:52:31	17304/17304	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-4398%22	https://static.itch.io/fonts/04b03.ttf	C:/Benim%20Web%20Sitem/sea/static.itch.io/fonts/04b03.ttf	(from https://static.itch.io/game.css?1662925820)
21:52:31	11700/11700	---M--	200	added ('OK')	image/png	etag:%225ac04077-2dd5%22	https://static.itch.io/lib/farbtastic/wheel.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/lib/farbtastic/wheel.png	(from https://static.itch.io/game.css?1662925820)
21:52:31	1830/1830	---M--	200	added ('OK')	image/png	etag:%225ac04077-7e4%22	https://static.itch.io/lib/farbtastic/mask.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/lib/farbtastic/mask.png	(from https://static.itch.io/game.css?1662925820)
21:52:32	376/376	---M--	200	added ('OK')	image/png	etag:%225ac04077-28c%22	https://static.itch.io/lib/farbtastic/marker.png	C:/Benim%20Web%20Sitem/sea/static.itch.io/lib/farbtastic/marker.png	(from https://static.itch.io/game.css?1662925820)
21:52:32	4327/4327	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-10e7%22	https://static.itch.io/images/logo-white-new.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/logo-white-new.svg	(from https://static.itch.io/game.css?1662925820)
21:52:32	45450/45450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c193f7f-b18a%22	https://static.itch.io/images/snowrepeat.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/snowrepeat.svg	(from https://static.itch.io/game.css?1662925820)
21:52:32	4285/4285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-10bd%22	https://static.itch.io/images/logo-black-new.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/logo-black-new.svg	(from https://static.itch.io/game.css?1662925820)
21:52:32	6335/6335	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225db1d9ca-18bf%22	https://static.itch.io/images/logo-white-new-halloween.svg?2	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/logo-white-new-halloweenc81e.svg	(from https://static.itch.io/game.css?1662925820)
21:52:33	2351/2351	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c2d88fc-92f%22	https://static.itch.io/images/itchio-textless-black.svg	C:/Benim%20Web%20Sitem/sea/static.itch.io/images/itchio-textless-black.svg	(from https://static.itch.io/game.css?1662925820)
